dataset,clamp,clamp_lo,n_seeds_hit,n_seeds,mean_hit_epoch,mean_residual_var_at_hit,mean_var_alea_at_hit,final_log_sigma2_raw,final_var_aleatoric,final_residual_var_fit,final_val_nll,final_val_rmse
yacht,default,-6.0,3,3,341.6666666666667,0.0017025787989231,0.0024787521766663,-6.051971862831759,0.0024787521766663,0.0006923533648338,-1.3614769376134532,0.0596907224356491
yacht,wide,-12.0,0,3,,,,-7.480887485786011,0.0005695945746495,0.000534274055887,-0.0824435286203979,0.0553961503395271
energy,default,-6.0,3,3,295.3333333333333,0.002227720046948,0.0024787521766663,-6.032137216530153,0.0024787521766663,0.0013535826611352,-1.590572876124044,0.0492692406179426
energy,wide,-12.0,0,3,,,,-6.6351750974308175,0.0013139471558351,0.0013095544452977,-1.547428109317826,0.0472494539517696
concrete,default,-6.0,0,3,,,,-3.820934571562864,0.0219636496320349,0.020715393212187,1.3156957039692374,0.3180055013476234
concrete,wide,-12.0,0,3,,,,-3.820934571562864,0.0219636496320349,0.020715393212187,1.3156957039692374,0.3180055013476234
wine_quality_red,default,-6.0,0,3,,,,-1.3649998205568472,0.2564635101951982,0.2529634084477546,2.412543975504286,1.0431255846408105
wine_quality_red,wide,-12.0,0,3,,,,-1.3649998205568472,0.2564635101951982,0.2529634084477546,2.412543975504286,1.0431255846408105
kin8nm,default,-6.0,0,3,,,,-2.741172292363621,0.064537940143432,0.0621903992093325,0.1441278051197103,0.2772189495360244
kin8nm,wide,-12.0,0,3,,,,-2.741172292363621,0.064537940143432,0.0621903992093325,0.1441278051197103,0.2772189495360244
power_plant,default,-6.0,0,3,,,,-2.8777509589973995,0.0562699948528363,0.0561045945238874,-0.0317210604194961,0.2343238068871701
power_plant,wide,-12.0,0,3,,,,-2.8777509589973995,0.0562699948528363,0.0561045945238874,-0.0317210604194961,0.2343238068871701
